State,count,mean,median,standard_deviation,minimum,maximum,q10,q25,q75,q90,q95,q99,iqr,mean_median_ratio
OK,5167,111.52549835494484,45.016666666666666,268.30601266397923,15.0,4483.983333333334,29.566666666666666,29.716666666666665,77.53333333333333,137.76000000000002,360.0,1547.3336666666667,47.81666666666666,2.4774268423904817
OR,10474,666.2166205206543,165.0,11787.434727073669,7.0,790283.7,43.983333333333334,76.55,240.0,360.0,509.354166666668,3788.8373333333343,163.45,4.0376764880039655
PA,17047,193.36977865118007,76.03333333333333,6448.841332687398,2.5,576183.45,29.5,30.0,121.76666666666667,200.98,360.0,685.7520000000004,91.76666666666667,2.5432237437682605
RI,1068,91.05259051186017,44.68333333333333,116.30637047258472,11.6,1297.0,29.295,29.616666666666667,74.7,360.0,360.0,360.0,45.083333333333336,2.037730485159124
SC,22691,95.04551363976907,59.8,925.273584429198,7.0,119519.98333333334,29.716666666666665,44.8,82.14166666666668,140.68333333333334,199.28333333333333,374.8199999999963,37.34166666666668,1.5893898601968073
SD,17,277.91960784313727,179.13333333333333,307.75622247721935,28.666666666666668,1124.0,29.18,111.25,193.75,729.8266666666668,910.4533333333331,1081.2906666666665,82.5,1.5514678517480682
TN,9777,99.31210323548464,61.6,178.58065229622696,5.5,11122.233333333334,29.516666666666666,29.85,107.0,188.39666666666645,360.0,609.866666666666,77.15,1.6122094681085168
TX,34925,92.0505072774994,45.583333333333336,137.33911192691687,6.0,11359.933333333332,29.5,29.8,90.31666666666666,193.1300000000001,360.0,558.8413333333349,60.516666666666666,2.0193895563619613
UT,5837,107.48979213066072,64.0,192.45961863840787,8.0,6674.0,29.433333333333334,45.68333333333333,98.83333333333333,201.1266666666668,360.0,797.6380000000001,53.15,1.6795280020415737
VA,16856,111.64654821230818,75.03333333333333,653.1278208024879,6.0,56490.0,29.416666666666668,30.0,122.05,197.0,360.0,594.9500000000007,92.05,1.4879593275740761
VT,56,127.68869047619047,59.541666666666664,128.43904285050937,28.533333333333335,370.21666666666664,29.416666666666668,29.766666666666666,257.48333333333335,360.0,360.0,364.5975,227.7166666666667,2.144526642007398
WA,6601,126.43132858657778,45.0,212.93331552912576,9.0,1772.3166666666666,29.383333333333333,29.733333333333334,114.88333333333334,360.0,360.0,1348.0,85.15,2.8095850797017285
WI,2057,121.69272403176146,61.28333333333333,155.43606359433056,8.0,4017.45,29.310000000000002,29.7,130.73333333333332,360.0,360.0,371.58000000000004,101.03333333333332,1.9857393097377447
WV,673,260.5881129271917,134.5,331.88350619688447,10.0,1483.8166666666666,29.583333333333332,93.0,343.23333333333335,494.4466666666669,1308.2066666666665,1467.7433333333333,250.23333333333335,1.937458088678005
WY,182,255.7322344322344,99.575,413.8332846694674,4.0,1502.3833333333334,29.451666666666664,75.09583333333333,201.5,384.3000000000002,1485.0833333333333,1492.7116666666666,126.40416666666667,2.5682373530729037
