Feature,Expert0_Mean_Impact,Expert1_Mean_Impact,Expert2_Mean_Impact,Overall_Mean_Impact
emb_359,0.00026462632,0.00024998432,0.00015272391,0.00022244487
emb_341,0.00015101727,0.00033446698,0.00018143193,0.0002223054
emb_258,0.00023791996,0.00025069024,0.0001771122,0.00022190747
emb_272,0.0002499734,0.0004141624,0.0,0.00022137859
emb_218,0.00028752696,0.0003517764,1.9110565e-05,0.0002194713
emb_315,0.00029681262,0.00020515197,0.00015623511,0.00021939991
emb_324,8.318201e-05,0.000333034,0.00023603495,0.00021741698
emb_295,0.00010555509,0.00010572344,0.00043953542,0.00021693797
emb_11,8.3683684e-05,0.000111738744,0.00044471363,0.00021337869
emb_171,0.00033599488,0.00025388578,3.27262e-05,0.00020753562
emb_157,0.000525414,3.7049027e-05,5.5612494e-05,0.00020602516
emb_306,7.719565e-05,6.6812114e-05,0.00046454245,0.00020285007
emb_361,0.0003700826,0.00010747803,0.00012577954,0.00020111339
emb_124,0.00014349508,0.00026294639,0.00019196338,0.00019946828
emb_334,0.000174581,0.00042155795,0.0,0.00019871298
emb_278,0.00019095468,0.0001682739,0.00023499563,0.00019807473
emb_214,8.9533605e-05,0.00050339685,0.0,0.00019764349
emb_294,0.0001314772,0.00045720936,0.0,0.00019622885
emb_184,7.154145e-05,0.00036385303,0.00013084618,0.00018874688
emb_368,0.000257487,0.00023844164,5.8835212e-05,0.00018492127
emb_162,0.00032713648,0.00021645703,0.0,0.00018119784
emb_358,0.00021465047,0.00015816758,0.0001696237,0.0001808139
emb_328,0.00017530523,0.00035794842,0.0,0.00017775122
emb_208,0.00022347755,3.777168e-05,0.00027051652,0.00017725525
emb_357,5.27853e-06,0.00052634976,0.0,0.00017720943
emb_82,0.00018497258,0.00018554128,0.00015816874,0.00017622754
emb_309,0.00021574408,0.0003102591,0.0,0.0001753344
emb_38,0.0003816422,0.00014356404,0.0,0.00017506874
emb_248,8.365478e-05,0.0002395428,0.00019836216,0.00017385324
emb_245,9.0156485e-05,0.00027788163,0.0001382249,0.00016875433
emb_200,0.0004208379,6.8373556e-05,0.0,0.0001630705
emb_369,0.00041284502,7.570036e-05,0.0,0.00016284846
emb_37,8.689617e-05,0.00018727478,0.00020965759,0.00016127618
emb_17,0.0001416456,0.00026319697,7.5374104e-05,0.00016007223
emb_363,3.364136e-05,0.00044557563,0.0,0.000159739
emb_134,0.00030210937,0.00015488308,1.1968466e-05,0.0001563203
emb_325,0.00026129468,0.00020541059,0.0,0.00015556843
emb_331,9.4961935e-05,0.00034036595,3.103238e-05,0.00015545341
emb_190,0.0002775886,0.00017873624,0.0,0.00015210827
emb_182,0.0001351297,0.00032085605,0.0,0.00015199525
emb_132,9.095549e-05,0.00011041506,0.00025095284,0.00015077446
emb_242,0.00019379774,0.00020212258,5.3417265e-05,0.00014977918
emb_238,0.00025354628,0.00019169679,0.0,0.00014841436
emb_296,5.8006604e-05,0.00037041152,0.0,0.00014280605
emb_30,0.00028792798,0.00013613146,0.0,0.00014135316
emb_345,0.00028141553,8.3719584e-05,5.6832694e-05,0.00014065595
emb_354,0.00022880443,0.00018980291,0.0,0.00013953578
emb_173,0.00018744818,0.00016617998,4.9234433e-05,0.00013428753
Visibility(mi),5.1300503e-05,0.0003056093,2.6303636e-05,0.00012773782
emb_84,0.00011560313,0.00016597348,8.004889e-05,0.00012054184
emb_198,0.00013475631,0.00021990984,0.0,0.00011822205
gate_q_tabular,0.0,0.00035344472,0.0,0.0001178149
emb_102,0.00015965223,0.00017722833,0.0,0.00011229352
emb_107,0.00013924505,0.00019287392,0.0,0.00011070632
emb_115,0.00026367142,3.2104488e-06,5.27738e-05,0.00010655189
emb_121,0.00014791153,0.0001409723,2.8129209e-05,0.00010567101
emb_158,0.00010400026,0.00020023393,0.0,0.000101411395
emb_375,7.7938486e-05,0.00022608502,0.0,0.00010134117
emb_274,0.00013583798,9.0676505e-05,5.6757526e-05,9.4424e-05
emb_194,6.0530365e-05,0.0002219717,0.0,9.416736e-05
emb_281,3.8118527e-05,0.00020887038,0.0,8.2329636e-05
emb_268,3.6999216e-05,0.00019033745,0.0,7.577889e-05
emb_251,6.354061e-05,0.00016270015,0.0,7.541358e-05
emb_155,9.046803e-05,0.00011210572,0.0,6.752458e-05
lanes_blocked,2.1614826e-06,0.0,0.00019531726,6.582625e-05
is_secondary_crash,2.9606364e-05,0.0,0.0,9.868788e-06
rollover,2.6233793e-05,0.0,0.0,8.744598e-06
incident_type,0.0,8.4282665e-06,0.0,2.809422e-06
injury,0.0,0.0,0.0,0.0
emergency_response_mentioned,0.0,0.0,0.0,0.0
debris,0.0,0.0,0.0,0.0
spill,0.0,0.0,0.0,0.0
heavy_vehicle,0.0,0.0,0.0,0.0
fire,0.0,0.0,0.0,0.0
specialized_recovery_required,0.0,0.0,0.0,0.0
hazardous_material,0.0,0.0,0.0,0.0
full_road_blockage,0.0,0.0,0.0,0.0
ramp_involvement,0.0,0.0,0.0,0.0
disabled_vehicle,0.0,0.0,0.0,0.0
gate_q_semantic_density,0.0,0.0,0.0,0.0
uncertainty_language,0.0,0.0,0.0,0.0
